,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5185; n(1500 286),0.4815; n(1506 287),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.4098; n(1500 288),0.3234; n(1500 288),0.2084; n(1500 289),0.0; n(0 0),0.0; n(0 0),0.0585; n(0 0)
browse,0.0; n(0 0),0.4021; n(1500 288),0.3212; n(1499 288),0.2158; n(1498 288),0.0; n(0 0),0.0; n(0 0),0.0609; n(0 0)
select,0.0; n(0 0),0.4341; n(1499 289),0.3868; n(1498 289),0.0; n(0 0),0.0701; n(1489 289),0.0; n(0 0),0.1091; n(0 0)
addToCart,0.0; n(0 0),0.2234; n(1491 275),0.1852; n(1478 278),0.1875; n(1488 286),0.059; n(1513 292),0.294; n(1524 282),0.0509; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
