,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5499; n(1492 289),0.4501; n(1490 286),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.489; n(1500 288),0.3019; n(1500 288),0.1836; n(1500 288),0.0; n(0 0),0.0; n(0 0),0.0255; n(0 0)
browse,0.0; n(0 0),0.4379; n(1500 288),0.3246; n(1499 289),0.2064; n(1498 288),0.0; n(0 0),0.0; n(0 0),0.031; n(0 0)
select,0.0; n(0 0),0.4894; n(1500 288),0.4019; n(1498 288),0.0; n(0 0),0.0462; n(1509 292),0.0; n(0 0),0.0625; n(0 0)
addToCart,0.0; n(0 0),0.2725; n(1477 296),0.2356; n(1493 277),0.2079; n(1454 278),0.0393; n(1552 290),0.2079; n(1509 303),0.037; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
