,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5027; n(1497 285),0.4973; n(1516 287),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.4005; n(1500 288),0.3818; n(1500 288),0.2005; n(1501 288),0.0; n(0 0),0.0; n(0 0),0.0172; n(0 0)
browse,0.0; n(0 0),0.3502; n(1499 289),0.4354; n(1500 288),0.1973; n(1500 288),0.0; n(0 0),0.0; n(0 0),0.0172; n(0 0)
select,0.0; n(0 0),0.4423; n(1499 288),0.482; n(1500 289),0.0; n(0 0),0.0372; n(1500 285),0.0; n(0 0),0.0384; n(0 0)
addToCart,0.0; n(0 0),0.2571; n(1511 286),0.2494; n(1530 275),0.2802; n(1495 292),0.054; n(1435 330),0.1208; n(1472 278),0.0386; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
