,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5546; n(1504 300),0.4454; n(1529 304),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.4356; n(1499 289),0.3661; n(1500 289),0.1884; n(1497 291),0.0; n(0 0),0.0; n(0 0),0.01; n(0 0)
browse,0.0; n(0 0),0.3798; n(1499 288),0.4213; n(1498 288),0.1876; n(1496 287),0.0; n(0 0),0.0; n(0 0),0.0112; n(0 0)
select,0.0; n(0 0),0.4644; n(1499 288),0.4712; n(1504 290),0.0; n(0 0),0.0411; n(1495 279),0.0; n(0 0),0.0232; n(0 0)
addToCart,0.0; n(0 0),0.2811; n(1520 290),0.2919; n(1539 283),0.2649; n(1410 280),0.0541; n(1359 307),0.0919; n(1515 279),0.0162; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
