,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.4963; n(1499 288),0.5037; n(1500 288),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.2857; n(1499 289),0.2965; n(1501 288),0.2191; n(1498 288),0.0; n(0 0),0.0; n(0 0),0.1986; n(0 0)
browse,0.0; n(0 0),0.2583; n(1500 288),0.3397; n(1499 289),0.2168; n(1499 289),0.0; n(0 0),0.0; n(0 0),0.1851; n(0 0)
select,0.0; n(0 0),0.2846; n(1501 286),0.3202; n(1498 288),0.0; n(0 0),0.1182; n(1509 286),0.0; n(0 0),0.277; n(0 0)
addToCart,0.0; n(0 0),0.1301; n(1516 276),0.1537; n(1490 289),0.0994; n(1515 291),0.0758; n(1474 287),0.4734; n(1525 282),0.0676; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
