,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.45; n(1496 289),0.55; n(1501 287),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.2931; n(1498 288),0.4513; n(1500 288),0.2138; n(1500 288),0.0; n(0 0),0.0; n(0 0),0.0417; n(0 0)
browse,0.0; n(0 0),0.2769; n(1500 288),0.5081; n(1500 288),0.1816; n(1499 289),0.0; n(0 0),0.0; n(0 0),0.0334; n(0 0)
select,0.0; n(0 0),0.3785; n(1497 288),0.4997; n(1498 288),0.0; n(0 0),0.0481; n(1502 290),0.0; n(0 0),0.0737; n(0 0)
addToCart,0.0; n(0 0),0.2432; n(1468 272),0.2591; n(1509 267),0.1659; n(1491 319),0.0614; n(1514 282),0.2273; n(1479 276),0.0432; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
