,Login,Aktenbearbeitung,$
Login*,0.0; n(0 0),1.0; n(418394048 1258178722),0.0; n(0 0)
Aktenbearbeitung,0.0333; n(917213832 0),0.194; n(4146324854 5266993456),0.7726; n(0 0)
