,Login,Aktenbearbeitung,$
Login,0.0; n(0 0),1.0; n(4393956684041 0),0.0; n(0 0)
Aktenbearbeitung,0.0; n(0 0),0.75; n(3735737457566 1261499361422),0.25; n(0 0)
