,Login,Aktenbearbeitung,$
Login,0.0; n(0 0),1.0; n(2806106692 0),0.0; n(0 0)
Aktenbearbeitung,0.0; n(0 0),0.8571; n(2869806385171 5527321437153),0.1429; n(0 0)
