,Login,Aktenbearbeitung,$
Login,0.0; n(0 0),1.0; n(91198983165 87072540793),0.0; n(0 0)
Aktenbearbeitung,0.3333; n(917213832568 0),0.3333; n(13037197856597 0),0.3333; n(0 0)
