home;30146;0.06856724348126718
remove;1493;0.003395836745091617
deferorder;3422;0.007783357897992976
View_Items;216706;0.49289899375875684
clearcart;3061;0.00696226140437069
cancelorder;277;6.300380297323361E-4
shoppingcart;4554;0.010358098149462307
Add_to_Cart;32413;0.07372354750077333
logout;30147;0.06856951798678967
inventory;15592;0.03546409010681078
login;30927;0.07034363229433921
sellinventory;34275;0.07795867678366723
purchasecart;4230;0.009621158360172499
View_Items_quantity;32413;0.07372354750077333
