,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.4692; n(1500 288),0.5308; n(1505 288),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.3104; n(1499 289),0.4356; n(1500 288),0.2152; n(1499 288),0.0; n(0 0),0.0; n(0 0),0.0389; n(0 0)
browse,0.0; n(0 0),0.3007; n(1500 288),0.4787; n(1500 288),0.1881; n(1499 289),0.0; n(0 0),0.0; n(0 0),0.0326; n(0 0)
select,0.0; n(0 0),0.3921; n(1501 288),0.4921; n(1499 288),0.0; n(0 0),0.0486; n(1487 288),0.0; n(0 0),0.0672; n(0 0)
addToCart,0.0; n(0 0),0.2341; n(1467 269),0.2408; n(1509 257),0.194; n(1493 303),0.0669; n(1534 257),0.2224; n(1491 279),0.0418; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
