,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5563; n(1512 303),0.4438; n(1518 312),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.4318; n(1499 289),0.3685; n(1499 289),0.1902; n(1499 290),0.0; n(0 0),0.0; n(0 0),0.0096; n(0 0)
browse,0.0; n(0 0),0.3718; n(1498 288),0.4282; n(1499 288),0.1888; n(1496 288),0.0; n(0 0),0.0; n(0 0),0.0112; n(0 0)
select,0.0; n(0 0),0.4674; n(1499 288),0.4679; n(1503 291),0.0; n(0 0),0.0424; n(1503 281),0.0; n(0 0),0.0224; n(0 0)
addToCart,0.0; n(0 0),0.2825; n(1523 294),0.2938; n(1516 275),0.2599; n(1423 284),0.0565; n(1359 307),0.096; n(1515 279),0.0113; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
