,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5168; n(1489 286),0.4832; n(1512 288),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.4216; n(1500 288),0.3671; n(1500 288),0.1945; n(1502 288),0.0; n(0 0),0.0; n(0 0),0.0168; n(0 0)
browse,0.0; n(0 0),0.3626; n(1500 288),0.4253; n(1500 288),0.196; n(1499 289),0.0; n(0 0),0.0; n(0 0),0.0161; n(0 0)
select,0.0; n(0 0),0.452; n(1498 289),0.4732; n(1499 289),0.0; n(0 0),0.037; n(1502 284),0.0; n(0 0),0.0378; n(0 0)
addToCart,0.0; n(0 0),0.2604; n(1526 283),0.2438; n(1534 286),0.2825; n(1468 294),0.0471; n(1435 330),0.1219; n(1484 282),0.0443; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
