,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5025; n(1498 287),0.4975; n(1499 289),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.2948; n(1497 289),0.258; n(1499 288),0.2149; n(1499 287),0.0; n(0 0),0.0; n(0 0),0.2324; n(0 0)
browse,0.0; n(0 0),0.2513; n(1496 288),0.298; n(1500 289),0.217; n(1501 290),0.0; n(0 0),0.0; n(0 0),0.2337; n(0 0)
select,0.0; n(0 0),0.2724; n(1510 285),0.2863; n(1501 287),0.0; n(0 0),0.1295; n(1501 286),0.0; n(0 0),0.3117; n(0 0)
addToCart,0.0; n(0 0),0.1115; n(1540 269),0.1352; n(1497 281),0.0971; n(1481 299),0.0827; n(1500 280),0.5013; n(1519 284),0.0722; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
