,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.5502; n(1494 289),0.4498; n(1498 288),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.4787; n(1500 288),0.3029; n(1500 288),0.1884; n(1499 289),0.0; n(0 0),0.0; n(0 0),0.03; n(0 0)
browse,0.0; n(0 0),0.4433; n(1500 288),0.3077; n(1499 289),0.2126; n(1499 289),0.0; n(0 0),0.0; n(0 0),0.0364; n(0 0)
select,0.0; n(0 0),0.485; n(1501 289),0.3956; n(1498 288),0.0; n(0 0),0.0498; n(1501 296),0.0; n(0 0),0.0696; n(0 0)
addToCart,0.0; n(0 0),0.2814; n(1461 293),0.2136; n(1500 271),0.2017; n(1475 276),0.0508; n(1537 287),0.2119; n(1506 296),0.0407; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
