,entry,search,browse,select,addToCart,pay,$
entry*,0.0; n(0 0),0.4901; n(1497 286),0.5099; n(1504 288),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0)
search,0.0; n(0 0),0.3735; n(1500 288),0.3394; n(1500 288),0.2136; n(1500 288),0.0; n(0 0),0.0; n(0 0),0.0735; n(0 0)
browse,0.0; n(0 0),0.3429; n(1500 288),0.3759; n(1500 288),0.2099; n(1499 288),0.0; n(0 0),0.0; n(0 0),0.0714; n(0 0)
select,0.0; n(0 0),0.3897; n(1501 288),0.3878; n(1499 289),0.0; n(0 0),0.079; n(1509 286),0.0; n(0 0),0.1435; n(0 0)
addToCart,0.0; n(0 0),0.2028; n(1498 280),0.2053; n(1476 291),0.1539; n(1504 292),0.0501; n(1461 316),0.3367; n(1525 283),0.0513; n(0 0)
pay,0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),0.0; n(0 0),1.0; n(0 0)
